VISA_CLASS,EMPLOYMENT_START_DATE,EMPLOYER_NAME,EMPLOYER_ADDRESS,EMPLOYER_CITY,EMPLOYER_STATE,JOB_TITLE,WAGE_RATE_OF_PAY_FROM,INDUSTRY,WORKSITE_CITY,WORKSITE_COUNTY,WORKSITE_STATE,WORKSITE_POSTAL_CODE
E-3 Australian,03-01-18,SAATCHI & SAATCHI,375 HUDSON STREET,NEW YORK,NY,CHIEF CREATIVE OFFICER,800000,Advertising & Marketing,TORRANCE,LOS ANGELES COUNTY,CA,90505
H-1B,08-01-18,DONER PARTNERS,25900 NORTHWESTERN HIGHWAY,SOUTHFIELD,MI,"PRESIDENT, DONER LA",425000,Advertising & Marketing,LOS ANGELES,LOS ANGELES,CA,90094
E-3 Australian,02-28-18,BBDO,1285 AVENUE OF THE AMERICAS,NEW YORK,NY,MANAGING DIRECTOR,400000,Advertising & Marketing,LOS ANGELES,LOS ANGELES,CA,90066
H-1B,01-15-18,SIMON-KUCHER & PARTNERS STRATEGY & MARKETING CONSULTANTS,ONE CANAL PARK,CAMBRIDGE,MA,PARTNER,400000,Advertising & Marketing,MOUNTAIN VIEW,SANTA CLARA,CA,94041
E-3 Australian,12-07-18,CARAT,150 EAST 42ND STREET,NEW YORK,NY,"EVP, MANAGING DIRECTOR",325000,Advertising & Marketing,CULVER CITY,LOS ANGELES,CA,90230
E-3 Australian,09-05-18,CARAT,150 EAST 42ND STREET,NEW YORK,NY,"EVP, MANAGING DIRECTOR",325000,Advertising & Marketing,CULVER CITY,LOS ANGELES,CA,90230
H-1B,05-23-18,TBWA WORLDWIDE,12539 BEATRICE STREET,LOS ANGELES,CA,GROUP CREATIVE DIRECTOR,315000,Advertising & Marketing,LOS ANGELES,LOS ANGELES,CA,90066
E-3 Australian,08-12-18,"GOODBY, SILVERSTEIN AND PARTNERS",720 CALIFORNIA STREET,SAN FRANCISCO,CA,CREATIVE DIRECTOR,230000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94108
E-3 Australian,08-12-18,"GOODBY, SILVERSTEIN AND PARTNERS",720 CALIFORNIA STREET,SAN FRANCISCO,CA,CREATIVE DIRECTOR,230000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94108
E-3 Australian,11-07-18,"GOODBY, SILVERSTEIN AND PARTNERS",720 CALIFORNIA STREET,SAN FRANCISCO,CA,CREATIVE DIRECTOR,225000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94108
E-3 Australian,09-10-18,72ANDSUNNY PARTNERS,12101 WEST BLUFF CREEK DRIVE,PLAYA VISTA,CA,GROUP BRAND DIRECTOR,220000,Advertising & Marketing,PLAYA VISTA,LOS ANGELES,CA,90094
E-3 Australian,10-10-18,72ANDSUNNY PARTNERS,12101 WEST BLUFF CREEK DRIVE,PLAYA VISTA,CA,GROUP BRAND MANAGER,220000,Advertising & Marketing,PLAYA VISTA,LOS ANGELES,CA,90094
E-3 Australian,10-22-18,BBDO,600 CALIFORNIA STREET,SAN FRANCISCO,CA,CREATIVE DIRECTOR,215000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94108
E-3 Australian,06-01-18,BBDO,1285 AVENUE OF THE AMERICAS,NEW YORK,NY,CREATIVE DIRECTOR,215000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94108
H-1B,07-19-18,TBWA WORLDWIDE,12539 BEATRICE STREET,LOS ANGELES,CA,PLANNING DIRECTOR,190000,Advertising & Marketing,LOS ANGELES,LOS ANGELES,CA,90066
H-1B,01-12-18,SIMON-KUCHER & PARTNERS STRATEGY & MARKETING CONSULTANTS,ONE CANAL PARK,CAMBRIDGE,MA,"SENIOR DIRECTOR, R3 DIVISION",175000,Advertising & Marketing,MOUNTAIN VIEW,SANTA CLARA,CA,94041
H-1B,07-10-18,ADVERTISE.COM,15303 VENTURA BOULEVARD,SHERMAN OAKS,CA,LEAD SOFTWARE ENGINEER,170000,Advertising & Marketing,SHERMAN OAKS,LOS ANGELES,CA,91403
H-1B1 Chile,01-15-18,CONILL ADVERTISING,2101 ROSECRANS AVENUE,EL SEGUNDO,CA,CREATIVE DIRECTOR,170000,Advertising & Marketing,EL SEGUNDO,LOS ANGELES COUNTY,CA,90245
H-1B,01-01-18,SIMON-KUCHER & PARTNERS STRATEGY & MARKETING CONSULTANTS,ONE CANAL PARK,CAMBRIDGE,MA,DIRECTOR,155000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94105
H-1B,07-20-18,TBWA WORLDWIDE,12539 BEATRICE STREET,LOS ANGELES,CA,"ASSOCIATE DIRECTOR, DIGITAL",150000,Advertising & Marketing,LOS ANGELES,LOS ANGELES,CA,90066
E-3 Australian,04-30-18,HERO DIGITAL,"150 SPEAR STREET, SUITE 600",SAN FRANCISCO,CA,SENIOR PROJECT MANAGER,138000,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94105
E-3 Australian,05-10-18,"GOODBY, SILVERSTEIN AND PARTNERS",720 CALIFORNIA STREET,SAN FRANCISCO,CA,ACCOUNT DIRECTOR,127962,Advertising & Marketing,SAN FRANCISCO,SAN FRANCISCO,CA,94108
